fileName	dsk	author
2007\01\01\1815830.xml	Foreign Desk	By SABRINA TAVERNISE; An Iraqi employee of The New York Times contributed reporting from Kirkuk.
2007\01\01\1815831.xml	Foreign Desk	By BILL CARTER
2007\01\01\1815832.xml	Sports Desk	By CLIFTON BROWN
2007\01\01\1815834.xml	National Desk	By DANA CANEDY
2007\01\01\1815835.xml	Foreign Desk	By LIZETTE ALVAREZ and ANDREW LEHREN; Mark Mazzetti and Griff Palmer contributed reporting.
2007\01\01\1815836.xml	Metropolitan Desk	By DANNY HAKIM
2007\01\01\1815837.xml	National Desk	By DAVID D. KIRKPATRICK
2007\01\01\1815838.xml	Foreign Desk	By JOHN F. BURNS and MARC SANTORA; Reporting was contributed by Abdul Razzaq al-Saiedi and Khalid W. Hassan from Baghdad, and an Iraqi employee of The New York Times from Tikrit.
2007\01\01\1815839.xml	National Desk	By RANDAL C. ARCHIBOLD
2007\01\01\1815841.xml	Metropolitan Desk	By MICHAEL COOPER
2007\01\01\1815842.xml	Metropolitan Desk	By JENNIFER MEDINA
2007\01\01\1815843.xml	Metropolitan Desk	By CARA BUCKLEY; Trymaine Lee contributing reporting.
2007\01\01\1815844.xml	Foreign Desk	By JEFFREY GETTLEMAN; Mohammed Ibrahim and Yuusuf Maxamuud contributed reporting from Mogadishu, Somalia.
2007\01\01\1815845.xml	Metropolitan Desk	By MICHAEL WILSON; Compiled by John Sullivan
2007\01\01\1815846.xml	Metropolitan Desk	By MICHAEL WILSON; Compiled by John Sullivan
2007\01\01\1815847.xml	Metropolitan Desk	By KAREEM FAHIM; Compiled by John Sullivan
2007\01\01\1815848.xml	Metropolitan Desk	By KAREEM FAHIM; Compiled by John Sullivan
2007\01\01\1815849.xml	Foreign Desk	By JEFFREY GETTLEMAN
2007\01\01\1815850.xml	The Arts/Cultural Desk	By LAWRENCE VAN GELDER
2007\01\02\1815881.xml	Health&Fitness	By DENISE GRADY
2007\01\02\1815882.xml	Health&Fitness	By DAN HURLEY
2007\01\02\1815883.xml	Health&Fitness	This article is by H. Gilbert Welch, Lisa Schwartz and Steven Woloshin.
2007\01\02\1815884.xml	Health&Fitness	By ANAHAD O'CONNOR
2007\01\02\1815885.xml	Science Desk	By CLAUDIA DREIFUS
2007\01\02\1815886.xml	Health&Fitness	By Jane E. Brody
2007\01\02\1815887.xml	Health&Fitness	By NICHOLAS BAKALAR
2007\01\02\1815888.xml	Health&Fitness	By Nicholas Bakalar
2007\01\02\1815889.xml	Health&Fitness	By RONALD PIES, M.D.
2007\01\02\1815890.xml	Health&Fitness	By Nicholas Bakalar
2007\01\02\1815891.xml	Health&Fitness	By Nicholas Bakalar
2007\01\02\1815892.xml	Health&Fitness	By Nicholas Bakalar
2007\01\02\1815893.xml	Health&Fitness	By Denise Grady
2007\01\02\1815894.xml	The Arts/Cultural Desk	By ALLAN KOZINN
2007\01\02\1815895.xml	Science Desk	By DINA KRAFT
2007\01\02\1815896.xml	Science Desk	By KENNETH CHANG
2007\01\02\1815897.xml	Science Desk	By DENNIS OVERBYE
2007\01\02\1815898.xml	The Arts/Cultural Desk	By Dave Kehr
2007\01\02\1815899.xml	The Arts/Cultural Desk	By NEIL GENZLINGER
2007\01\02\1815900.xml	The Arts/Cultural Desk	By MICHIKO KAKUTANI
2007\01\02\1815901.xml	The Arts/Cultural Desk	By ALESSANDRA STANLEY
2007\01\02\1815902.xml	The Arts/Cultural Desk	Compiled by Steven McElroy
2007\01\02\1815903.xml	The Arts/Cultural Desk	By Jon Pareles
2007\01\02\1815904.xml	The Arts/Cultural Desk	By MARTHA SCHWENDENER
2007\01\02\1815905.xml	The Arts/Cultural Desk	By ALESSANDRA STANLEY
2007\01\02\1815906.xml	The Arts/Cultural Desk	By DAVID M. HALBFINGER
2007\01\02\1815907.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\02\1815908.xml	Business/Financial Desk	By CHRISTOPHER ELLIOTT
2007\01\02\1815909.xml	Business/Financial Desk	By JOE SHARKEY
2007\01\02\1815910.xml	Business/Financial Desk	By JULIE BICK
2007\01\02\1815911.xml	Business/Financial Desk	By LOUISE STORY
2007\01\02\1815912.xml	Business/Financial Desk	As told to Christopher Elliott
2007\01\02\1815913.xml	Business/Financial Desk	By JOE SHARKEY
2007\01\02\1815914.xml	Sports Desk	By TOM CONNELLY
2007\01\02\1815915.xml	National Desk	By ROBERT PEAR
2007\01\02\1815916.xml	National Desk	By ABBY GOODNOUGH
2007\01\02\1815917.xml	National Desk	By ANNE E. KORNBLUT
2007\01\02\1815919.xml	National Desk	By SHERYL GAY STOLBERG
2007\01\02\1815920.xml	National Desk	By RACHEL L. SWARNS
2007\01\02\1815924.xml	Editorial Desk	By ADAM COHEN
2007\01\02\1815929.xml	National Desk	By CARL HULSE
2007\01\02\1815930.xml	Editorial Desk	By Craig Childs
2007\01\02\1815931.xml	Editorial Desk	By ORLANDO PATTERSON; Nicholas D. Kristof is on vacation.
2007\01\02\1815932.xml	Editorial Desk	By John Curtis Perry, Scott Borgerson and Rockford Weitz
2007\01\02\1815934.xml	Editorial Desk	By John M. Shalikashvili
2007\01\02\1815936.xml	Metropolitan Desk	By PAUL VITELLO
2007\01\02\1815937.xml	Metropolitan Desk	By SERGE F. KOVALESKI; Aliyah Shahid contributed reporting.
2007\01\02\1815938.xml	Foreign Desk	By JEFFREY GETTLEMAN; Mohammed Ibrahim and Yuusuf Maxamuud contributed reporting from Mogadishu, Somalia.
2007\01\02\1815939.xml	Business/Financial Desk	By VIKAS BAJAJ and MARJORIE CONNELLY
2007\01\02\1815940.xml	Business/Financial Desk	By BRAD STONE
2007\01\02\1815941.xml	Business/Financial Desk	By FLOYD NORRIS
2007\01\02\1815943.xml	Foreign Desk	By HELENE COOPER and STEVEN R. WEISMAN
2007\01\02\1815944.xml	National Desk	By STEVE FRIESS
2007\01\02\1815945.xml	Sports Desk	By MURRAY CHASS
2007\01\02\1815946.xml	Sports Desk	By NATHANIEL VINTON
2007\01\02\1815947.xml	Metropolitan Desk	By CLYDE HABERMAN
2007\01\02\1815948.xml	Metropolitan Desk	By NICHOLAS CONFESSORE
2007\01\02\1815949.xml	Business/Financial Desk	By MICHAEL J. de la MERCED
2007\01\02\1815950.xml	Foreign Desk	By CRAIG S. SMITH; Jethro Mullen contributed reporting.
2007\01\02\1815951.xml	Foreign Desk	By DAN BILEFSKY
2007\01\02\1815952.xml	Sports Desk	By BILL FINLEY
2007\01\02\1815954.xml	Foreign Desk	By SABRINA TAVERNISE and ROBERT F. WORTH; Sabrina Tavernise reported from Baghdad and Robert F. Worth from New York.
2007\01\02\1815956.xml	Foreign Desk	This article is by David E. Sanger, Michael R. Gordon and John F. Burns.; David E. Sanger and Michael R. Gordon reported from Washington, and John F. Burns from Cambridge, England, and Baghdad. Reporting was contributed by James Glanz, Sabrina Tavernise and Abdul Razzaq al-Saiedi from Baghdad.
2007\01\02\1815957.xml	Metropolitan Desk	By PATRICK HEALY
2007\01\02\1815959.xml	Sports Desk	By TOM SPOUSTA
2007\01\02\1815960.xml	Science Desk	By C. CLAIBORNE RAY
2007\01\02\1815961.xml	Science Desk	By Henry Fountain
2007\01\02\1815971.xml	Sports Desk	By MATT HIGGINS
2007\01\02\1815972.xml	Metropolitan Desk	By MICHAEL COOPER
2007\01\02\1815973.xml	Metropolitan Desk	By ERIC KONIGSBERG; Kate Hammer contributed reporting.
2007\01\02\1815974.xml	Metropolitan Desk	By CHARLES V. BAGLI
2007\01\02\1815975.xml	Business/Financial Desk	By JENNY ANDERSON
2007\01\02\1815976.xml	Metropolitan Desk	By DANNY HAKIM; Sewell Chan contributed reporting.
2007\01\02\1815977.xml	Metropolitan Desk	By SHADI RAHIMI
2007\01\02\1815978.xml	Metropolitan Desk	By SAM ROBERTS
2007\01\02\1815979.xml	Metropolitan Desk	By JENNIFER 8. LEE
2007\01\02\1815980.xml	Metropolitan Desk	By ERICKA V. MITCHELL
2007\01\02\1815981.xml	Metropolitan Desk	By PATRICK HEALY
2007\01\02\1815982.xml	Metropolitan Desk	By SEWELL CHAN
2007\01\02\1815983.xml	Metropolitan Desk	By NICHOLAS CONFESSORE
2007\01\02\1815984.xml	Metropolitan Desk	By PATRICK HEALY
2007\01\02\1815985.xml	Metropolitan Desk	By SEWELL CHAN
2007\01\02\1815986.xml	Metropolitan Desk	By JENNIFER 8. LEE and NATE SCHWEBER; Rebecca Cathcart contributed reporting.
2007\01\02\1815988.xml	Sports Desk	By KAREN CROUSE
2007\01\02\1815989.xml	Sports Desk	By CLIFTON BROWN
2007\01\02\1815990.xml	Sports Desk	By GEORGE VECSEY
2007\01\02\1815991.xml	Sports Desk	By JUDY BATTISTA; Dennis J. Carroll contributed reporting from Denver.
2007\01\02\1815992.xml	Sports Desk	By HOWARD BECK
2007\01\02\1815993.xml	Business/Financial Desk	By MICHAEL BARBARO
2007\01\02\1815994.xml	Metropolitan Desk	By TINA KELLEY; Happy Blitt contributed research.
2007\01\02\1815995.xml	Sports Desk	By JOE LAPOINTE
2007\01\02\1815997.xml	Sports Desk	By PETE THAMEL
2007\01\02\1815998.xml	Sports Desk	By VIV BERNSTEIN
2007\01\02\1815999.xml	The Arts/Cultural Desk	By STEVEN McELROY
2007\01\02\1816000.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\02\1816001.xml	The Arts/Cultural Desk	By MELENA RYZIK
2007\01\02\1816002.xml	Magazine	By NOAH FELDMAN; Noah Feldman, a contributing writer, is a law professor at New York University and adjunct senior fellow at the Council on Foreign Relations.
2007\01\03\1816044.xml	The Arts/Cultural Desk	By GIA KOURLAS
2007\01\03\1816045.xml	Dining, Dining Out/Cultural Desk	By Florence Fabricant
2007\01\03\1816046.xml	Dining, Dining Out/Cultural Desk	By Florence Fabricant
2007\01\03\1816047.xml	Dining, Dining Out/Cultural Desk	By Florence Fabricant
2007\01\03\1816048.xml	Dining, Dining Out/Cultural Desk	By Florence Fabricant
2007\01\03\1816049.xml	Dining, Dining Out/Cultural Desk	By Florence Fabricant
2007\01\03\1816050.xml	Dining, Dining Out/Cultural Desk	By Harold McGee
2007\01\03\1816051.xml	Dining, Dining Out/Cultural Desk	By Eric Asimov
2007\01\03\1816052.xml	The Arts/Cultural Desk	By JULIE BOSMAN
2007\01\03\1816053.xml	The Arts/Cultural Desk	By ALESSANDRA STANLEY
2007\01\03\1816054.xml	The Arts/Cultural Desk	Compiled by Lawrence Van Gelder
2007\01\03\1816055.xml	Dining, Dining Out/Cultural Desk	By FLORENCE FABRICANT
2007\01\03\1816056.xml	Dining, Dining Out/Cultural Desk	By KIM SEVERSON
2007\01\03\1816057.xml	The Arts/Cultural Desk	By JACQUES STEINBERG
2007\01\03\1816058.xml	Dining, Dining Out/Cultural Desk	By Frank Bruni
2007\01\03\1816059.xml	Dining, Dining Out/Cultural Desk	By Peter Meehan
2007\01\03\1816060.xml	Dining, Dining Out/Cultural Desk	By FLORENCE FABRICANT
2007\01\03\1816061.xml	Dining, Dining Out/Cultural Desk	By FLORENCE FABRICANT
2007\01\03\1816062.xml	Dining, Dining Out/Cultural Desk	By Alex Witchel
2007\01\03\1816063.xml	Dining, Dining Out/Cultural Desk	By Mark Bittman
2007\01\03\1816064.xml	Dining, Dining Out/Cultural Desk	By KIM SEVERSON
2007\01\03\1816065.xml	Dining, Dining Out/Cultural Desk	By PETER MEEHAN
2007\01\03\1816066.xml	The Arts/Cultural Desk	By GINIA BELLAFANTE
2007\01\03\1816067.xml	The Arts/Cultural Desk	By MATT ZOLLER SEITZ
2007\01\03\1816068.xml	The Arts/Cultural Desk	By JEANNETTE CATSOULIS
2007\01\03\1816069.xml	The Arts/Cultural Desk	By CAROL VOGEL
2007\01\03\1816070.xml	The Arts/Cultural Desk	By CHARLES LYONS
2007\01\03\1816071.xml	The Arts/Cultural Desk	By VIRGINIA HEFFERNAN
2007\01\03\1816072.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\03\1816073.xml	The Arts/Cultural Desk	By NEIL MACFARQUHAR
2007\01\03\1816074.xml	National Desk	By ANNE E. KORNBLUT and JOHN M. BRODER
2007\01\03\1816075.xml	National Desk	By SCOTT SHANE; Monica Davey and Nick Bunkley contributed reporting from Grand Rapids, Mich.
2007\01\03\1816077.xml	Metropolitan Desk	By PAUL VITELLO
2007\01\03\1816078.xml	National Desk	By MAUREEN BALLEZA
2007\01\03\1816079.xml	Foreign Desk	By DONALD GREENLEES
2007\01\03\1816080.xml	Foreign Desk	By STEVEN ERLANGER
2007\01\03\1816081.xml	Foreign Desk	By JEFFREY GETTLEMAN; Mohammed Ibrahim and Yuusuf Maxamuud contributed reporting from Mogadishu, Somalia.
2007\01\03\1816083.xml	Foreign Desk	By SALMAN MASOOD
2007\01\03\1816084.xml	National Desk	By CARL HULSE
2007\01\03\1816085.xml	Foreign Desk	By EDWARD WONG
2007\01\03\1816087.xml	Sports Desk	By PETE THAMEL
2007\01\03\1816088.xml	National Desk	By DAVID CONSTANTINE
2007\01\03\1816089.xml	National Desk	By GINA KOLATA
2007\01\03\1816091.xml	Business/Financial Desk	By KRISTINA SHEVORY
2007\01\03\1816092.xml	Business/Financial Desk	By ROSALIE R. RADOMSKY
2007\01\03\1816093.xml	Business/Financial Desk	By ANDREW POLLACK
2007\01\03\1816094.xml	Business/Financial Desk	By DAN BILEFSKY and NICHOLAS WOOD; Dan Bilefsky reported from Brussels and Nicholas Wood from Ljubljana, Slovenia.
2007\01\03\1816095.xml	Business/Financial Desk	By JOHN MARKOFF and MIGUEL HELFT
2007\01\03\1816096.xml	Business/Financial Desk	By ALISON GREGOR
2007\01\03\1816097.xml	Business/Financial Desk	By CHOE SANG-HUN
2007\01\03\1816099.xml	Sports Desk	By JACK BELL
2007\01\03\1816100.xml	Business/Financial Desk	By EAMON QUINN
2007\01\03\1816110.xml	Foreign Desk	By SARAH LYALL
2007\01\03\1816112.xml	Foreign Desk	By JULIA PRESTON
2007\01\03\1816113.xml	Editorial Desk	By MAUREEN DOWD
2007\01\03\1816114.xml	Editorial Desk	By THOMAS L. FRIEDMAN
2007\01\03\1816115.xml	Editorial Desk	By Mike Males
2007\01\03\1816116.xml	Editorial Desk	By William A. Niskanen
2007\01\03\1816118.xml	Metropolitan Desk	By LILY KOPPEL
2007\01\03\1816119.xml	Metropolitan Desk	By RICHARD G. JONES
2007\01\03\1816120.xml	Metropolitan Desk	By CLARA HEMPHILL
2007\01\03\1816123.xml	National Desk	By KIRK JOHNSON
2007\01\03\1816124.xml	National Desk	By PAM BELLUCK; Katie Zezima contributed reporting.
2007\01\03\1816125.xml	Metropolitan Desk	By RICHARD G. JONES
2007\01\03\1816126.xml	Metropolitan Desk	By KAREEM FAHIM
2007\01\03\1816127.xml	Metropolitan Desk	By JOSH BARBANEL
2007\01\03\1816128.xml	National Desk	By RACHEL L. SWARNS
2007\01\03\1816129.xml	Business/Financial Desk	By JEREMY W. PETERS; Keith Bradsher contributed reporting from Hong Kong.
2007\01\03\1816130.xml	Business/Financial Desk	By LOUISE STORY
2007\01\03\1816131.xml	Business/Financial Desk	By CRAIG S. SMITH
2007\01\03\1816132.xml	Business/Financial Desk	By DAVID LEONHARDT
2007\01\03\1816133.xml	Business/Financial Desk	By KATHARINE Q. SEELYE
2007\01\03\1816134.xml	Metropolitan Desk	By ARI L. GOLDMAN
2007\01\03\1816135.xml	The Arts/Cultural Desk	By JULIE BOSMAN
2007\01\03\1816138.xml	Sports Desk	By PETE THAMEL
2007\01\03\1816139.xml	Sports Desk	By JOE DRAPE
2007\01\03\1816141.xml	National Desk	By PATRICK HEALY
2007\01\03\1816142.xml	Foreign Desk	By JOHN F. BURNS and JAMES GLANZ; Reporting was contributed by Ali Adeeb, Qais Mizher, Abdul Razzaq al-Saiedi, Marc Santora and Sabrina Tavernise in Baghdad, and an Iraqi employee of The New York Times in Awja.
2007\01\03\1816143.xml	National Desk	By GINA KOLATA
2007\01\03\1816144.xml	Metropolitan Desk	By CARA BUCKLEY
2007\01\03\1816145.xml	The Arts/Cultural Desk	By BENJAMIN TOFF; Compiled by Lawrence Van Gelder
2007\01\03\1816146.xml	The Arts/Cultural Desk	By CAMPBELL ROBERTSON; Compiled by Lawrence Van Gelder
2007\01\03\1816147.xml	Metropolitan Desk	By NICHOLAS CONFESSORE
2007\01\03\1816148.xml	Metropolitan Desk	By LIBRADO ROMERO
2007\01\03\1816149.xml	Metropolitan Desk	By MONICA POTTS
2007\01\03\1816150.xml	Metropolitan Desk	By DANNY HAKIM; Sewell Chan contributed reporting.
2007\01\03\1816151.xml	Metropolitan Desk	By NATE SCHWEBER
2007\01\03\1816152.xml	Metropolitan Desk	By LAURA MANSNERUS
2007\01\03\1816153.xml	National Desk	By EDMUND L. ANDREWS
2007\01\03\1816154.xml	Foreign Desk	By STEVEN ERLANGER and MARILYN BERGER
2007\01\03\1816168.xml	Business/Financial Desk	By SAUL HANSELL
2007\01\03\1816169.xml	Metropolitan Desk	By ELISSA GOOTMAN
2007\01\03\1816170.xml	Sports Desk	By RICHARD SANDOMIR
2007\01\03\1816171.xml	Sports Desk	By JOHN BRANCH
2007\01\03\1816172.xml	Sports Desk	By SELENA ROBERTS
2007\01\03\1816173.xml	Sports Desk	By TYLER KEPNER
2007\01\03\1816175.xml	Sports Desk	By JER� LONGMAN
2007\01\03\1816176.xml	Sports Desk	By VIV BERNSTEIN
2007\01\03\1816177.xml	Sports Desk	By LYNN ZINSER
2007\01\03\1816178.xml	Sports Desk	By HOWARD BECK
2007\01\03\1816179.xml	Metropolitan Desk	By DARYL KHAN; Compiled by John Sullivan
2007\01\03\1816180.xml	Metropolitan Desk	Compiled by John Sullivan
2007\01\03\1816181.xml	Metropolitan Desk	By TIMOTHY WILLIAMS; Compiled by John Sullivan
2007\01\03\1816182.xml	Metropolitan Desk	By BRUCE LAMBERT; Compiled by John Sullivan
2007\01\03\1816183.xml	Metropolitan Desk	Compiled by John Sullivan
2007\01\03\1816184.xml	Metropolitan Desk	By DAVID D. KIRKPATRICK; Compiled by John Sullivan
2007\01\03\1816185.xml	Foreign Desk	By SIMON ROMERO
<p>
2007\01\03\1816186.xml	Foreign Desk	By SHIMALI SENANAYAKE
2007\01\03\1816187.xml	National Desk	By ANNE E. KORNBLUT and JOHN M. BRODER
2007\01\03\1816188.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\03\1816189.xml	Real Estate Desk	By ANNA BAHNEY
2007\01\03\1816190.xml	Real Estate Desk	By AMY GUNDERSON
2007\01\03\1816191.xml	Real Estate Desk	By MICHAEL FITZPATRICK
2007\01\04\1816224.xml	Thursday Styles	By Michelle Slatalla
2007\01\04\1816225.xml	Thursday Styles	By JESSICA CASSITY
2007\01\04\1816226.xml	Thursday Styles	By SALLY WADYKA
2007\01\04\1816227.xml	Thursday Styles	By Alex Kuczynski
2007\01\04\1816228.xml	Thursday Styles	By Eric Wilson
2007\01\04\1816229.xml	Thursday Styles	By NATASHA SINGER
2007\01\04\1816230.xml	Thursday Styles	By ALEX WILLIAMS
2007\01\04\1816231.xml	Thursday Styles	By GUY TREBAY
2007\01\04\1816232.xml	The Arts/Cultural Desk	By Phillip Alder
2007\01\04\1816233.xml	The Arts/Cultural Desk	By JANET MASLIN
2007\01\04\1816234.xml	House & Home/Style Desk	By ANNE RAVER
2007\01\04\1816235.xml	The Arts/Cultural Desk	By VIRGINIA HEFFERNAN
2007\01\04\1816236.xml	The Arts/Cultural Desk	By VIRGINIA HEFFERNAN
2007\01\04\1816237.xml	House & Home/Style Desk	By STEPHEN MILIOTI
2007\01\04\1816238.xml	House & Home/Style Desk	By MICHAEL CANNELL
2007\01\04\1816239.xml	House & Home/Style Desk	By EVA HAGBERG
2007\01\04\1816240.xml	House & Home/Style Desk	By ELAINE LOUIE
2007\01\04\1816241.xml	House & Home/Style Desk	By MARIANNE ROHRLICH
2007\01\04\1816242.xml	The Arts/Cultural Desk	By ANDREW ADAM NEWMAN
2007\01\04\1816244.xml	House & Home/Style Desk	By Michael Cannell
2007\01\04\1816246.xml	House & Home/Style Desk	By Leslie Land
2007\01\04\1816247.xml	House & Home/Style Desk	By MICHAEL CANNELL
2007\01\04\1816248.xml	House & Home/Style Desk	By Marianne Rohrlich
2007\01\04\1816249.xml	House & Home/Style Desk	By GREGORY DICUM
2007\01\04\1816250.xml	House & Home/Style Desk	By FRED A. BERNSTEIN
2007\01\04\1816251.xml	The Arts/Cultural Desk	By FELICIA R. LEE
2007\01\04\1816252.xml	The Arts/Cultural Desk	By MARTHA SCHWENDENER
2007\01\04\1816253.xml	The Arts/Cultural Desk	By BERNARD HOLLAND
2007\01\04\1816254.xml	The Arts/Cultural Desk	By DAVID BARBOZA
2007\01\04\1816255.xml	The Arts/Cultural Desk	By ROBERTA SMITH
2007\01\04\1816256.xml	The Arts/Cultural Desk	By BEN RATLIFF
2007\01\04\1816257.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\04\1816258.xml	The Arts/Cultural Desk	By DANIEL J. WAKIN and ROSLYN SULCAS
2007\01\04\1816259.xml	Sports Desk	By RICHARD GOLDSTEIN
2007\01\04\1816260.xml	National Desk	By DOUGLAS MARTIN
2007\01\04\1816261.xml	Metropolitan Desk	By DAVID W. DUNLAP
2007\01\04\1816262.xml	Metropolitan Desk	By PAUL VITELLO
2007\01\04\1816263.xml	Metropolitan Desk	By WILLIAM GLABERSON
2007\01\04\1816264.xml	National Desk	By MONICA DAVEY; Nick Bunkley contributed reporting.
2007\01\04\1816265.xml	National Desk	By ERIC LIPTON
2007\01\04\1816266.xml	Metropolitan Desk	By KAREEM FAHIM
2007\01\04\1816267.xml	Metropolitan Desk	By RAY RIVERA
2007\01\04\1816268.xml	National Desk	By BRENDA GOODMAN
2007\01\04\1816269.xml	National Desk	By JOHN NOBLE WILFORD
2007\01\04\1816270.xml	Foreign Desk	By NAZILA FATHI
2007\01\04\1816271.xml	Foreign Desk	By JEFFREY GETTLEMAN; Mohammed Ibrahim and Yuusuf Maxamuud contributed reporting from Mogadishu, Somalia.
2007\01\04\1816272.xml	Foreign Desk	By SIMON ROMERO
2007\01\04\1816273.xml	Metropolitan Desk	By ALEXIS REHRMANN
2007\01\04\1816274.xml	National Desk	By EDMUND L. ANDREWS
2007\01\04\1816275.xml	National Desk	BY PATRICK HEALY and ADAM NAGOURNEY
2007\01\04\1816277.xml	National Desk	By PATRICK HEALY
2007\01\04\1816278.xml	Foreign Desk	By KEITH BRADSHER
2007\01\04\1816279.xml	Metropolitan Desk	By RAY RIVERA; Diane Cardwell contributed reporting.
2007\01\04\1816280.xml	Metropolitan Desk	By MIKE McINTIRE and SEWELL CHAN
2007\01\04\1816281.xml	Metropolitan Desk	By JENNIFER MEDINA
